FID,ADDRESS,FIRE_HALL,X,Y
0,815 Goyeau St,Fire Hall #1,-83.03347074,42.31186562
1,3121 Milloy St,Fire Hall #2,-82.98693169,42.30685749
2,2650 Northwood St,Fire Hall #5,-83.04913846,42.2762797
3,2750 Ouellette Ave,Fire Hall #3,-83.01569762,42.28213696
4,2600 College Ave,Fire Hall #4,-83.06283788,42.29992312
5,1380 Matthew Brady Blvd,Fire Hall #7,-82.93866343,42.32154779
6,1587 Provincial Rd,Fire Hall #6,-82.97731437,42.25753784
