XCoord,YCoord,FID,NAME,ADDRESS
-83.01179465,42.29536181,103,Lens Avenue Greenbelt,785 Lens Avenue
-82.93089415,42.32641345,104,Little River Acres,8575 Little River Road
-82.91466491,42.32462167,105,Little River Boulevard,9903 Little River Blvd
-82.9229019,42.32698192,106,Little River Corridor,10091 Riverside Drive E
-82.91719332,42.29139319,107,Little River Dragonfly,7798 Twin Oaks Drive
-83.07605353,42.30043324,108,Mackenzie Hall,3261 Sandwich Street
-82.91357172,42.32041957,109,Magnolia,1703 Magnolia Avenue
-83.06516529,42.27724579,110,Malden,4200 Malden Road
-82.97630186,42.25975434,111,Maple Leaf,3974 Maple Leaf Cres
-83.03220082,42.24958081,112,Marguriet,2665 Marguriet Street
-83.02851243,42.26489956,113,Mark,3125 Mark Avenue
-82.92406401,42.33397039,114,Martinique,536 Martinique Avenue
-83.06561777,42.28837094,115,Matchette,3675 Marchette Road
-83.00320504,42.24032592,116,Matthew Rodzik,545 Rodfam Drive
-83.06007504,42.28072826,117,Maurice Belanger,3980 Malden Road
-82.98152688,42.29689975,118,Mayfair,2539 Chandler Road
-82.92175149,42.31764894,119,McHugh,9655 McHugh Street
-83.07492837,42.30655915,120,McKee,3036 Sandwich Street
-82.93221064,42.3052332,121,Meadowbrook,2851 Meadowbrook Lane
-83.0731565,42.28519558,122,Mic Mac,3940 Carmichael Road
-83.07728715,42.30324819,123,Mill Street,3176 Russell St
-83.03490469,42.30303787,124,Mitchell,399 Giles Blvd W
-82.91176246,42.32485128,125,Morningstar,10741 Little River Blvd
-83.05793576,42.30001745,126,North Merritt,953 Merritt Drive
-82.97790347,42.24308887,127,North Talbot,1299 Highnoon Drive
-83.05568752,42.29653339,128,North Tilston,1235 Tilston Drive
-83.04272863,42.30039888,129,Oak Elm,1250 Elm Avenue
-83.03364266,42.25623964,130,Oakwood,2401 Pulford Street
-83.08546514,42.26142997,131,Ojibway Parkway Trail,4900 Ojibway Parkway
-83.0782004,42.26580321,132,Ojibway Tom Joy Woods,5200 Matchette Raod
-83.00210245,42.2919735,133,Optimist Memorial,1075 Ypres Avenue
-82.89850053,42.30997525,134,Palmetto,11518 Palmetto Drive
-83.00792408,42.29479157,135,Parent,2286 Parent Avenue
-82.97223799,42.286866,136,Parkwood Woodlot,3017 Temple Dr
-83.03637421,42.27035808,137,Partington,2725 Partington Avenue
-83.07369059,42.30516093,138,Paterson,3063 Sandwich Street
-82.98678361,42.26111887,139,Patrick Maguire,3782 Holburn Street
-82.92680865,42.34609976,140,Peche Island,0 Peche Island
-82.93801715,42.34263092,141,Peche Island Landing,8734 Riverside Drive E
-82.98006298,42.32735058,142,Pleasant Place,254 Pillette Road
-82.97248875,42.29255479,143,Plymouth,3601 Plymouth Drive
-82.96787012,42.31299474,144,Polonia,4923 Milloy Street
-82.96303469,42.31545085,145,Pykes,5497 Lassaline Avenue
-83.02100028,42.27004436,146,Radisson Bikeway,2985 Bruce Avenue
-82.97889621,42.32966811,147,Reaume,4714 Riverside Drive E
-83.00469785,42.28547061,148,Remington Booster,2710 Lillian Avenue
-82.92955816,42.32785699,149,Riverdale,1069 Riverdale Avenue
-82.95522876,42.32948946,150,Riverside Baseball,6755 Wyandotte Street E
-82.92601728,42.32789176,151,Riverside Kiwanis,9420 Little River Road
-82.96535481,42.29677266,152,Robert,2747 Robert Road
-82.97467654,42.30168104,153,Robert McDonald,3971 Ypres Avenue
-82.98532673,42.25679389,154,Roseland,870 Morand Street
-82.94549937,42.30691728,155,Roseville,6405 Roseville Garden Drive
-82.91954008,42.33872333,156,Sandpoint Beach,10300 Riverside Drive E
-83.03634647,42.3177393,157,Senator Croll,320 Goyeau Street
-82.91088908,42.2995656,158,Seneca,3515 Wildwood Drive
-82.92718356,42.33936136,159,Shanfield Shores,9640 Riverside Drive E
-82.95367412,42.29081088,160,Shawnee,5099 Colburne Drive
-82.98255864,42.26757058,161,Shinglecreek,3699 Shinglecreek Ct
-82.96850146,42.30440392,162,Somme,4500 Somme Avenue
-83.04232354,42.28065429,163,South Cameron Woodlot,1761 Kenora Street
-83.05653345,42.29874346,164,South Merritt,1038 Merritt Drive
-82.896289,42.33216617,165,South Rendezvous,11997 Riverside Drive E
-83.05368943,42.29434644,166,South Tilston,1346 Tilston Drive
-82.99443337,42.2898511,167,Southdale,1644 Southdale Drive
-82.99263078,42.24332407,168,Southwood Lakes Trail,4300 Southwood Lakes Blvd
-83.05075242,42.25804866,169,Spring Garden Natural Area,2313 Lambton Street
-82.90685486,42.31510286,170,Springhollow,2597 Luxury Avenue
-82.94271641,42.32957422,171,St Paul Grove,1020 St Paul Avenue
-82.95001952,42.33848064,172,St Paul Pumping Station,7730 Riverside Drive E
-82.95559552,42.33334899,173,St Rose Beach,6902 Riverside Drive E
-82.91098435,42.30943405,174,Stillmeadow,2940 Stillmeadow Road
-83.00312891,42.30484605,175,Stodgell,1650 Seneca Street
-82.98187714,42.24239283,176,Stoneybrook,1059 North Talbot Road
-82.91608184,42.33728497,177,Stop 26,10610 Riverside Drive E
-83.06088103,42.31373779,178,Straith,1751 Riverside Drive W
-83.04647879,42.29079725,179,Superior,1700 Totten Street
-83.0668614,42.26411723,180,Tallgrass Prairie Heritage,1380 Titcombe Road
-82.9262289,42.3120486,181,Teedie,2740 Lauzon Road
-82.9674653,42.32196805,182,Thompson,5410 Edgar Street
-82.95492887,42.30123786,183,Thurston,2763 Rivard Avenue
-82.94641319,42.31951672,184,Tranby,6899 Tranby Avenue
-82.98931062,42.28725744,185,Udine,2891 Byng Road
-82.98980223,42.32058995,186,Unity,1204 Central Avenue
-83.00939013,42.24445101,187,Veterans Memorial,1120 Cousineau Road
-83.02842401,42.28318915,188,Virginia,2197 South Cameron Blvd
-83.04461855,42.31754556,189,Vision Corridor,421 Riverside Drive W
-82.98410052,42.27811715,190,Walker Homesite,1900 Seymour Blvd
-82.98150189,42.27235082,191,Walker Homesite Biketrail,1723 Seymour Blvd
-83.01336474,42.3224491,192,Walkerville Jubilee,611 Kildare Road
-83.05237385,42.31279768,193,Wellington,352 Wellington Street
-82.98373964,42.31197586,194,Westcott,3698 Alice Street
-82.927601,42.31952727,195,WFCU Centre,8787 McHugh Street
-83.0004828,42.32151132,196,Whelpton,2771 Whelpton Street
-83.02804979,42.30992636,197,Wigle,397 Erie Street E
-82.90193683,42.30491766,198,Wildwood,3950 Wildwood Drive
-83.00986601,42.31767443,199,Willistead,1899 Niagara Street
-83.05316772,42.30683202,200,Wilson,700 McEwan Avenue
-83.03651517,42.31934238,201,Windsor Justice Facility,218 Chatham Street E
-82.98786805,42.23640715,202,Wolfe Lake,4823 Southwood Lakes Blvd
-82.95333378,42.32237385,203,Realtor,1198 Homedale Blvd
