STATION,ADDRESS,X,Y
Royal Canadian Mounted Police,6080 Riverside Dr. E.,-82.96574139,42.33233168
Windsor Police Headquarters,150 Goyeau St.,-83.03735166,42.31914921
Collision Reporting Centre,3215 Jefferson Blvd.,-82.94207225,42.29356073
COMMUNITY SERVICE UNIT,3312 Sandwich St.,-83.07800358,42.29968361
Armoury and Police Training Centre (Major F.A. Tilston VC),4007 Sandwich St.,-83.08342293,42.28659816
Children's Safety Village - Office and Classroom,7911 Forest Glade Dr.,-82.92622357,42.2961254
Police Marine Unit - Lakeview Marina,9200 Riverside Dr. E.,-82.92945323,42.339664
